barcode02,143
barcode04,100
unclassified,1261
barcode03,78
barcode01,106
barcode06,105
barcode08,79
barcode09,73
barcode11,94
barcode12,72
barcode05,45
barcode07,73
barcode10,51
barcode26,0
barcode33,0
barcode40,0
barcode89,0
barcode47,0
barcode54,0
barcode68,0
barcode75,0
barcode96,0
barcode31,0
barcode59,0
barcode66,0
barcode45,0
barcode73,0
barcode94,0
barcode22,0
barcode15,0
barcode36,0
barcode43,0
barcode50,0
barcode71,0
barcode85,0
barcode27,0
barcode34,0
barcode41,0
barcode55,0
barcode69,0
barcode48,0
barcode76,0
barcode90,0
barcode32,0
barcode67,0
barcode60,0
barcode74,0
barcode95,0
barcode46,0
barcode16,0
barcode37,0
barcode23,0
barcode44,0
barcode51,0
barcode72,0
barcode86,0
barcode28,0
barcode77,0
barcode35,0
barcode42,0
barcode91,0
barcode49,0
barcode56,0
barcode70,0
barcode19,0
barcode61,0
barcode82,0
barcode24,0
barcode38,0
barcode52,0
barcode17,0
barcode80,0
barcode87,0
barcode57,0
barcode29,0
barcode64,0
barcode78,0
barcode13,0
barcode92,0
barcode20,0
barcode83,0
barcode62,0
barcode25,0
barcode18,0
barcode81,0
barcode53,0
barcode39,0
barcode88,0
barcode30,0
barcode58,0
barcode65,0
barcode79,0
barcode93,0
barcode14,0
barcode21,0
barcode63,0
barcode84,0
